Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
73894 97420.33 29.88 0.26 -0.43 -0.71 -64.00 -64.00 -64.00
74050 97417.11 29.89 -0.18 -0.00 -1.02 -64.00 -64.00 -9.25
74207 97417.34 29.90 -0.25 -0.01 -1.01 -15.54 -26.44 -16.28
74362 97417.66 29.91 -0.09 0.04 -0.89 -10.80 7.99 5.19
74518 97422.67 29.92 -0.31 0.15 -1.04 2.49 -2.80 35.17
74676 97419.45 29.94 -0.11 0.15 -0.90 -3.62 44.74 48.31
74833 97419.42 29.94 -0.10 0.20 -1.09 9.33 32.88 19.38
74989 97421.88 29.96 -0.03 0.16 -1.00 40.53 23.46 21.65
75146 97420.87 29.97 0.08 0.08 -0.96 56.96 51.80 29.06
75303 97416.80 29.98 0.16 0.08 -1.12 64.00 29.21 37.29
75459 97418.21 29.99 0.14 -0.71 -0.45 64.00 -31.60 -29.42
75614 97419.30 30.00 0.15 -0.77 -0.54 -34.54 -10.77 7.16
75771 97420.55 30.01 0.12 -0.41 -1.04 -11.17 -11.65 -32.29
75927 97421.05 30.03 0.17 -0.56 -0.93 14.84 -25.88 -2.43
76085 97417.63 30.04 0.02 -0.51 -0.79 39.99 -21.37 -1.04
76240 97417.16 30.05 0.17 -0.74 -0.63 20.70 -8.44 -0.76
76396 97418.41 30.06 0.02 -0.72 -0.78 10.40 -8.37 8.50
76552 97418.23 30.07 0.14 -0.63 -0.84 10.44 -12.12 -1.20
76709 97418.49 30.09 -0.03 -0.66 -0.87 55.63 -64.00 -19.68
76866 97415.84 30.09 -0.06 -0.72 -0.50 64.00 -1.78 -19.56
77022 97418.91 30.11 0.31 -1.38 0.60 5.45 41.34 13.94
77178 97418.70 30.12 -0.45 -0.79 -0.87 16.79 64.00 63.87
77333 97417.41 30.13 -0.10 -0.60 -0.19 -2.85 18.80 37.07
77492 97418.56 30.14 0.36 -1.09 0.24 -29.53 44.33 45.76
77648 97422.69 30.15 0.21 -1.68 -0.36 29.57 37.39 22.85
77803 97422.44 30.16 -0.21 -0.88 -0.43 7.12 39.63 16.39
77959 97424.92 30.17 -0.06 -0.97 -0.07 1.86 30.27 1.98
78116 97424.58 30.19 -0.09 -1.27 -0.47 28.53 47.43 25.86
78271 97421.94 30.19 -0.09 -0.85 -0.32 -4.67 16.22 7.82
78427 97421.42 30.21 -0.13 -0.94 -0.24 6.00 33.73 -3.61
78584 97422.17 30.22 0.01 -0.85 -0.12 14.04 64.00 64.00
78740 97420.77 30.23 0.30 -0.79 -0.30 -0.45 12.28 3.16
78898 97423.41 30.24 -0.25 -0.72 -0.30 7.03 27.11 -27.32
79055 97423.34 30.25 -0.44 -0.97 -0.39 1.53 -2.35 -36.87
79211 97425.03 30.26 -0.58 -0.84 -0.31 -10.55 25.61 -5.04
79368 97424.86 30.28 -0.20 -1.90 -0.57 0.36 -16.53 22.83
79525 97423.03 30.28 -0.05 -0.17 0.11 13.69 -0.55 10.50
79681 97421.27 30.30 0.07 -0.93 -0.28 -1.73 -15.80 -10.40
79836 97426.08 30.31 0.01 -0.89 -0.45 5.25 -3.93 1.63
