Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
41513 97565.37 46.35 0.07 -0.85 -0.52 1.37 2.50 -0.63
41669 97566.91 46.35 0.07 -0.85 -0.52 1.35 2.49 -0.41
41825 97563.72 46.35 0.07 -0.85 -0.52 1.43 2.33 -0.44
41983 97564.91 46.35 0.07 -0.85 -0.52 1.49 2.40 -0.61
42139 97564.34 46.36 0.07 -0.85 -0.52 1.40 2.49 -0.52
42296 97564.53 46.36 0.07 -0.85 -0.52 1.65 2.28 -0.52
42451 97565.36 46.36 0.07 -0.85 -0.53 1.19 2.67 -1.11
42606 97565.22 46.36 0.07 -0.85 -0.52 1.47 2.01 -0.38
42762 97566.02 46.37 0.05 -0.84 -0.53 1.24 2.78 -1.07
42919 97565.22 46.37 0.08 -0.85 -0.52 1.33 2.02 -0.52
43075 97566.09 46.37 0.05 -0.85 -0.52 1.57 2.83 -0.38
43230 97563.59 46.37 0.08 -0.84 -0.53 1.17 2.52 -0.51
43386 97564.10 46.37 0.07 -0.85 -0.52 1.65 2.34 -0.01
43544 97564.67 46.38 0.08 -0.84 -0.53 1.61 2.57 -0.85
43700 97564.84 46.38 0.08 -0.85 -0.52 1.29 1.77 -0.21
43856 97565.87 46.38 0.07 -0.85 -0.52 1.51 2.54 -0.99
44012 97565.27 46.38 0.07 -0.85 -0.52 0.97 2.14 -0.75
44169 97565.78 46.38 0.06 -0.85 -0.52 1.54 2.62 -0.62
44324 97565.15 46.38 0.07 -0.85 -0.52 1.17 2.31 -0.80
44481 97565.78 46.38 0.06 -0.85 -0.52 1.56 2.28 -0.62
44637 97565.20 46.39 0.07 -0.85 -0.52 1.39 2.50 -0.33
44793 97563.58 46.39 0.07 -0.85 -0.52 1.23 2.21 -0.26
44950 97565.28 46.39 0.07 -0.84 -0.53 1.44 2.47 -0.48
45107 97566.48 46.40 0.07 -0.85 -0.53 1.08 2.22 -0.45
45262 97566.42 46.40 0.07 -0.85 -0.52 1.42 2.56 -0.44
45419 97566.84 46.40 0.07 -0.85 -0.53 1.30 2.34 -0.62
45574 97567.47 46.41 0.07 -0.85 -0.52 1.49 2.31 -0.49
45729 97566.78 46.41 0.07 -0.85 -0.52 1.43 2.39 -0.83
45885 97568.72 46.41 0.07 -0.85 -0.52 1.29 2.27 -0.48
46041 97567.92 46.41 0.07 -0.85 -0.52 1.53 2.50 -0.94
46197 97565.73 46.41 0.07 -0.85 -0.52 1.55 2.20 -0.57
46356 97566.12 46.42 0.07 -0.85 -0.52 1.28 2.24 -0.53
46511 97567.72 46.42 0.07 -0.85 -0.52 1.46 2.39 -0.61
46667 97567.97 46.42 0.06 -0.85 -0.52 1.23 2.33 -0.58
46824 97567.63 46.42 0.07 -0.85 -0.52 1.37 2.40 -0.88
46979 97570.30 46.43 0.07 -0.85 -0.52 1.48 2.55 -0.49
47135 97567.80 46.43 0.07 -0.85 -0.52 1.35 2.39 -0.84
47291 97568.67 46.43 0.07 -0.85 -0.52 1.43 2.28 -0.41
47447 97566.80 46.43 0.07 -0.85 -0.52 1.21 2.40 -0.42
47603 97567.77 46.44 0.07 -0.85 -0.52 1.18 2.35 -0.03
47759 97566.97 46.44 0.07 -0.85 -0.52 1.55 2.29 -0.60
47917 97568.16 46.44 0.07 -0.85 -0.52 1.43 2.35 -0.58
48073 97567.73 46.45 0.07 -0.85 -0.52 1.21 2.37 -0.58
48229 97566.02 46.45 0.07 -0.85 -0.52 1.17 2.29 -0.47
48385 97570.75 46.45 0.07 -0.85 -0.52 1.36 2.35 -0.68
48541 97568.89 46.45 0.07 -0.85 -0.52 1.42 2.34 -0.71
48697 97567.13 46.46 0.07 -0.85 -0.52 1.47 2.35 -0.99
48853 97568.32 46.46 0.07 -0.85 -0.52 1.44 2.52 -0.54
49009 97565.67 46.46 0.07 -0.85 -0.52 1.48 2.36 -0.74
49165 97566.75 46.47 0.07 -0.85 -0.52 1.32 2.19 -0.53
49323 97568.23 46.47 0.07 -0.85 -0.52 1.40 2.42 -0.46
49479 97569.28 46.47 0.07 -0.85 -0.52 1.34 2.46 -0.36
49635 97568.42 46.47 0.07 -0.85 -0.52 1.22 2.48 -0.71
49792 97565.58 46.48 0.07 -0.85 -0.52 1.08 2.42 -0.61
49947 97567.05 46.48 0.07 -0.85 -0.52 1.34 2.41 -0.47
50103 97565.55 46.48 0.07 -0.85 -0.52 1.29 2.31 -0.45
50259 97568.45 46.49 0.07 -0.85 -0.53 1.25 2.31 -0.68
50415 97568.39 46.49 0.07 -0.84 -0.53 1.40 2.24 -0.41
50571 97568.70 46.50 0.07 -0.84 -0.53 1.37 2.50 -0.54
50730 97568.06 46.50 0.07 -0.85 -0.53 1.40 2.10 -0.26
50885 97564.14 46.50 0.07 -0.85 -0.53 1.53 2.46 -0.53
51041 97568.81 46.50 0.07 -0.84 -0.53 1.34 2.25 -0.38
51197 97567.47 46.51 0.07 -0.85 -0.52 1.36 2.52 -0.37
51353 97567.75 46.51 0.08 -0.85 -0.52 1.53 2.21 -0.58
51509 97566.95 46.51 0.07 -0.85 -0.52 1.21 2.12 -0.47
51665 97567.49 46.51 0.07 -0.85 -0.52 1.15 2.29 -0.68
51821 97568.34 46.51 0.07 -0.85 -0.52 1.19 2.46 -0.41
51977 97568.53 46.52 0.07 -0.85 -0.52 1.30 2.47 -0.78
52133 97568.37 46.52 0.07 -0.85 -0.52 1.18 2.31 -0.77
52291 97568.48 46.53 0.07 -0.85 -0.52 1.24 2.04 -0.76
52447 97566.48 46.53 0.07 -0.85 -0.53 1.52 2.44 -0.61
52603 97566.85 46.53 0.06 -0.84 -0.53 1.42 2.53 -0.57
52760 97568.05 46.54 0.07 -0.85 -0.52 1.39 2.45 -0.63
52916 97569.06 46.54 0.06 -0.85 -0.52 1.26 2.47 -0.60
53071 97569.15 46.55 0.07 -0.85 -0.52 1.32 1.99 -0.51
53228 97568.55 46.55 0.07 -0.85 -0.52 1.37 2.37 -0.59
53383 97567.53 46.55 0.07 -0.85 -0.52 1.32 2.24 -0.51
53539 97567.44 46.55 0.07 -0.85 -0.52 1.17 2.49 -0.50
53697 97568.34 46.56 0.07 -0.85 -0.53 1.44 2.40 -0.51
53853 97568.41 46.56 0.07 -0.85 -0.53 1.52 2.10 -0.33
54010 97567.89 46.56 0.07 -0.85 -0.52 1.52 2.36 -0.56
54165 97571.25 46.57 0.07 -0.85 -0.53 1.63 2.35 -0.45
54321 97567.91 46.57 0.07 -0.85 -0.52 1.37 2.16 -0.31
54476 97568.48 46.57 0.07 -0.85 -0.52 1.60 2.44 -0.51
54632 97569.73 46.57 0.07 -0.85 -0.52 1.39 2.45 -0.40
54789 97570.95 46.58 0.07 -0.85 -0.52 1.29 2.26 -0.64
